EpisodeId,Word,Occurrences
133,Don,2
133,girl,3
133,disco,1
133,shoots,1
133,special,1
133,really,4
133,gon,5
133,alcohol,2
133,driving,4
133,Kunis,1
133,Leopard,1
133,day,3
133,looking,1
133,re,19
133,Midwest,1
133,got,8
133,Hold,1
133,cause,1
133,red,1
133,shut,5
133,END,8
133,drifting,2
133,This,4
133,million,1
133,guess,4
133,standard,1
133,cut,1
133,base,1
133,put,1
133,embarrass,1
133,wanted,1
133,card,1
133,care,1
133,training,1
133,could,3
133,thing,3
133,chuckling,1
133,place,2
133,isn,4
133,hence,1
133,Ew,1
133,loud,1
133,think,2
133,first,3
133,playwright,2
133,BarJerry,1
133,Lame,5
133,feel,1
133,beer,1
133,number,1
133,one,4
133,embarrassed,1
133,improvements,1
133,specifically,1
133,another,1
133,wasn,3
133,ring,1
133,fight,5
133,open,6
133,tomorrow,2
133,hood,2
133,size,1
133,city,1
133,story,1
133,Okay,20
133,festival,1
133,girls,1
133,least,2
133,Uncle,1
133,jamminest,1
133,saint,1
133,challenge,2
133,friend,3
133,listen,1
133,lot,3
133,mostly,1
133,trapped,1
133,park,1
133,depressing,1
133,part,1
133,believe,4
133,boyfriend,1
133,HopelessWoman,1
133,Seven,2
133,Playwright,1
133,showed,2
133,boring,1
133,handcuffs,1
133,See,1
133,marriage,4
133,supposed,1
133,cards,3
133,groaning,1
133,God,3
133,topics,1
133,mind,1
133,tonight,3
133,talking,3
133,say,1
133,taster,1
133,need,3
133,Son,1
133,Do,5
133,nights,1
133,Granddaddy,1
133,Club,1
133,After,1
133,also,1
133,take,5
133,They,1
133,sure,5
133,unless,1
133,opposite,1
133,distracts,1
133,eater,1
133,In,7
133,Good,1
133,eight,1
133,nothing,4
133,hide,1
133,The,8
133,parkmeter,1
133,dummy,3
133,forever,2
133,Shut,1
133,YorkJerry,1
133,clear,1
133,later,2
133,m,24
133,bustin,1
133,face,1
133,looked,1
133,Fishing,1
133,deeply,1
133,professional,1
133,FLASHBACK,14
133,usual,1
133,scotch,1
133,Saturday,2
133,lying,1
133,laws,2
133,shop,2
133,walking,1
133,Whittaker,1
133,anyway,1
133,pops,1
133,biker,2
133,JJ,1
133,HopelessTed,1
133,fianc,1
133,find,1
133,ground,2
133,crush,5
133,We,10
133,Daddy,2
133,Wa,1
133,writer,1
133,enough,1
133,French,1
133,sugar,1
133,going,7
133,York,2
133,pretty,3
133,photo,1
133,Guys,5
133,personality,1
133,wearing,3
133,hit,2
133,Attaboy,1
133,Turns,1
133,stop,5
133,lucky,1
133,She,2
133,pocket,1
133,womanizing,1
133,Once,1
133,Right,5
133,bar,3
133,ended,2
133,married,1
133,secret,3
133,morning,1
133,naked,1
133,twice,1
133,bad,3
133,stuff,1
133,shots,2
133,x,5
133,bought,1
133,Jerome,1
133,thanks,2
133,reveals,1
133,set,1
133,For,1
133,subsidizing,1
133,carpool,1
133,etic,1
133,collectively,1
133,see,8
133,Mama,1
133,close,1
133,best,2
133,Lusty,1
133,said,5
133,That,8
133,movie,1
133,away,1
133,behind,1
133,won,4
133,terribly,1
133,closed,2
133,yogurt,1
133,probably,1
133,pants,1
133,letting,1
133,streetMan,1
133,loose,1
133,Could,1
133,Thank,1
133,outfit,1
133,job,2
133,appartmentROBIN,1
133,news,2
133,come,1
133,laterMan,1
133,protect,1
133,accident,1
133,last,2
133,taking,1
133,hint,1
133,Focus,3
133,loudly,1
133,Wilde,2
133,buzz,1
133,Yes,1
133,whole,1
133,fix,1
133,otherwise,1
133,Marhsall,1
133,Guess,1
133,drunk,3
133,reasons,1
133,Hey,11
133,dudes,1
133,walk,1
133,Finally,1
133,anti,1
133,Closed,4
133,whispering,1
133,table,1
133,Sorry,1
133,Lily,21
133,boat,2
133,anyplace,1
133,amigo,2
133,bathroom,3
133,Sure,1
133,stamp,1
133,three,1
133,But,11
133,apologize,1
133,suburbs,2
133,dudettes,1
133,much,2
133,damn,1
133,wants,2
133,settling,1
133,life,6
133,carsBarney,1
133,gay,2
133,hmm,1
133,figured,1
133,instructor,1
133,And,19
133,stolen,1
133,look,5
133,To,1
133,frozen,1
133,Marshall,25
133,Superdome,1
133,Boots,2
133,trick,1
133,ugly,2
133,ain,1
133,fun,1
133,happened,1
133,picturing,1
133,Gross,1
133,ve,4
133,played,1
133,almost,2
133,Buckle,1
133,engaged,1
133,rip,1
133,sleeping,1
133,middle,1
133,good,8
133,brake,1
133,somebody,1
133,You,26
133,sits,1
133,chase,1
133,shirt,3
133,anymore,2
133,things,3
133,make,3
133,Stop,1
133,doofus,1
133,trip,4
133,Zeppelin,1
133,Many,1
133,party,4
133,several,1
133,daughters,1
133,week,2
133,arrives,1
133,Third,2
133,selfish,1
133,I,121
133,Maybe,3
133,hang,3
133,hand,2
133,afraid,2
133,student,1
133,Home,1
133,nip,1
133,magician,5
133,totally,1
133,six,1
133,bourgeois,2
133,kid,2
133,kept,1
133,Game,1
133,Is,1
133,dancing,1
133,well,3
133,It,7
133,Perkins,1
133,thought,3
133,greatest,2
133,bottle,3
133,mother,1
133,y,1
133,model,1
133,If,1
133,Ooh,1
133,heavily,1
133,barbecues,1
133,hands,1
133,Sunday,1
133,kill,1
133,fishing,7
133,yes,1
133,yet,1
133,hah,1
133,enters,1
133,tattoed,1
133,swilling,1
133,Gay,1
133,OPENING,1
133,thinking,1
133,Oscar,2
133,lake,1
133,Robin,44
133,pile,1
133,easy,1
133,excited,1
133,kick,1
133,real,2
133,On,1
133,around,3
133,emergency,1
133,Oh,26
133,big,2
133,showing,1
133,possible,1
133,early,1
133,five,3
133,know,23
133,judge,1
133,world,1
133,disappointed,1
133,Who,3
133,d,3
133,knock,1
133,like,15
133,OF,7
133,CREDIT,1
133,audience,2
133,laughing,4
133,night,9
133,become,1
133,Man,8
133,Fine,2
