EpisodeId,Character,Actor
38,Floppy Haired Guy,Rick Malambri
38,Zach Grecco,Evan Mann
38,Staci Rawnsley,Terryn Westbrook
38,Narrator (voice) (uncredited),Bob Saget
39,Ted Mosby,Josh Radnor
39,Marshall Eriksen,Jason Segel
39,Robin Scherbatsky,Cobie Smulders
39,Barney Stinson,Neil Patrick Harris
39,Lily Aldrin,Alyson Hannigan
39,Mechanic,Jonathan Browning
39,Hick,Frank Clem
39,Marcus Eriksen,Ned Rolsma
39,Marvin Eriksen Jr.,Robert Michael Ryan
39,Drive Thru Attendant,Jack Salvatore Jr.
39,Waldo (uncredited),Bay Dariz
39,Narrator (voice) (uncredited),Bob Saget
40,Ted Mosby,Josh Radnor
40,Marshall Eriksen,Jason Segel
40,Robin Scherbatsky,Cobie Smulders
40,Barney Stinson,Neil Patrick Harris
40,Lily Aldrin,Alyson Hannigan
40,Sarah,Rachelle Lefevre
40,Church Girl,Jessica Barth
40,Girl #3,Ailsa Marshall
40,Girl #1,Ella Thomas
40,Girl #2 (as Necar Zadegar),Necar Zadegan
40,Narrator (voice) (uncredited),Bob Saget
41,Ted Mosby,Josh Radnor
41,Marshall Eriksen,Jason Segel
41,Robin Scherbatsky,Cobie Smulders
41,Barney Stinson,Neil Patrick Harris
41,Lily Aldrin,Alyson Hannigan
41,Grandma Lois,K Callan
41,Janice Aldrin,Meagen Fay
41,Stuart,Matt Boren
41,Brad Morris,Joe Manganiello
41,Treasure,Erin Cardillo
41,Aunt Florence,Patricia Place
41,Stripper (as Jamie Rose Hagan),Jamie Hagan
41,Cousin Margaret,Corie Vickers
41,Narrator (voice) (uncredited),Bob Saget
42,Ted Mosby,Josh Radnor
42,Marshall Eriksen,Jason Segel
42,Robin Scherbatsky,Cobie Smulders
42,Barney Stinson,Neil Patrick Harris
42,Lily Aldrin,Alyson Hannigan
42,Himself,Bob Barker
42,Himself (voice),Rich Fields
42,Price is Right Contestant #1,Alan Finkelstein
42,Price is Right Contestant #2,Lisa Hoggatt
42,Millie,Sharon Madden
42,Young Barney,Tanner Maguire
42,Herself,Rachel Reynolds
42,Wedding Guest (uncredited),Elijah Samuel Quesada
42,Narrator (voice) (uncredited),Bob Saget
43,Ted Mosby,Josh Radnor
43,Marshall Eriksen,Jason Segel
43,Robin Scherbatsky,Cobie Smulders
43,Barney Stinson,Neil Patrick Harris
43,Lily Aldrin,Alyson Hannigan
43,Janice Aldrin,Meagen Fay
43,Ben,Michael Mantell
43,Brad Morris,Joe Manganiello
43,Scooter,David Burtka
43,Amy,Candice Accola
43,Gardener,Thomas Bethke
43,Andrea,Shulie Cowen
43,Bartender,P.J. Marino
43,Woman,Rachelle Wood
43,Wedding Guest (uncredited),Kathleen Bartholomew
43,Wedding Guest (uncredited),Elijah Samuel Quesada
43,Narrator (voice) (uncredited),Bob Saget
44,Ted Mosby,Josh Radnor
44,Marshall Eriksen,Jason Segel
44,Robin Scherbatsky,Cobie Smulders
44,Barney Stinson,Neil Patrick Harris
44,Lily Aldrin,Alyson Hannigan
44,Grandma Lois,K Callan
44,Fast Food Worker,Scoot McNairy
44,Waiter,Mark Cirillo
44,Boy (as Gattlin Tadd Griffith),Gattlin Griffith
44,Wedding Videographer,Gary Kraus
44,Ranjit,Marshall Manesh
44,DJ,Jeff Meacham
44,Mike,Ron Nicolosi
44,Waiter #2,Tony Rossi
44,Wedding Guest (uncredited),Kathleen Bartholomew
44,Wedding Guest (uncredited),Elijah Samuel Quesada
44,Narrator (voice) (uncredited),Bob Saget
45,Ted Mosby,Josh Radnor
45,Marshall Eriksen,Jason Segel
45,Robin Scherbatsky,Cobie Smulders
45,Barney Stinson,Neil Patrick Harris
45,Lily Aldrin,Alyson Hannigan
45,Amy,Mandy Moore
45,Gael,Enrique Iglesias
45,Daughter,Lyndsy Fonseca
45,Son,David Henrie
45,Lydia,Amanda Loncar
45,Steve,Frank Alvarez
45,Tyler,Donovan Dustin
45,Millie (uncredited),Sharon Madden
45,Narrator (voice) (uncredited),Bob Saget
46,Ted Mosby,Josh Radnor
46,Marshall Eriksen,Jason Segel
46,Robin Scherbatsky,Cobie Smulders
46,Barney Stinson,Neil Patrick Harris
46,Lily Aldrin,Alyson Hannigan
46,Gael,Enrique Iglesias
46,Lindsay,Nikki Griffin
46,Colleen,Michele Nordin
46,Officer Roque,Darryl Sivad
46,Australian Backpacker,Damon Gameau
46,Aussie Girl (uncredited),Bonnie Carter
46,Narrator (voice) (uncredited),Bob Saget
47,Ted Mosby,Josh Radnor
47,Marshall Eriksen,Jason Segel
47,Robin Scherbatsky,Cobie Smulders
47,Barney Stinson,Neil Patrick Harris
47,Lily Aldrin,Alyson Hannigan
47,Rachel,Busy Philipps
47,Trudy,Danica McKellar
47,Daughter,Lyndsy Fonseca
47,Son,David Henrie
47,Waitress,Christine Woods
47,Ian,Neil Jackson
47,Woman #1,Melissa Ordway
47,Woman #2,Chantelle Barry
47,Steve (uncredited),Frank Alvarez
47,Narrator (voice) (uncredited),Bob Saget
48,Ted Mosby,Josh Radnor
48,Marshall Eriksen,Jason Segel
48,Robin Scherbatsky,Cobie Smulders
48,Barney Stinson,Neil Patrick Harris
48,Lily Aldrin,Alyson Hannigan
48,George,Brad Rowe
48,Doug (as Nicholas Roget King),Nicholas Roget-King
48,Stacey Gusar,Janet Varney
48,11 year old Robin,Olivia Howard Bagg
48,4 year old Katie,Pamela Darling
48,Brooke Bartholomay,Deanna Russo
48,Narrator (voice) (uncredited),Bob Saget
49,Ted Mosby,Josh Radnor
49,Marshall Eriksen,Jason Segel
49,Robin Scherbatsky,Cobie Smulders
49,Barney Stinson,Neil Patrick Harris
49,Lily Aldrin,Alyson Hannigan
49,Blahblah,Abigail Spencer
49,Alexa,Jolie Jenkins
49,Phil,Ray Auxias
49,Audrey,Betsy Rue
49,Narrator (voice) (uncredited),Bob Saget
50,Ted Mosby,Josh Radnor
50,Marshall Eriksen,Jason Segel
50,Robin Scherbatsky,Cobie Smulders
50,Barney Stinson,Neil Patrick Harris
50,Lily Aldrin,Alyson Hannigan
50,Jeff Coatsworth,John Cho
50,Ted Mosby Porn Star,Kevin Heffernan
50,Wendy,Charlene Amoia
50,Clerk,Sharon Brathwaite
50,Leonard Ross,Frank Crim
50,Woman,Jacqui Holland
50,Doctor,Jim Jansen
50,Walk of Shame Woman,Mary Alyce Kania
50,Narrator (voice) (uncredited),Bob Saget
51,Ted Mosby,Josh Radnor
51,Marshall Eriksen,Jason Segel
51,Robin Scherbatsky,Cobie Smulders
51,Barney Stinson,Neil Patrick Harris
51,Lily Aldrin,Alyson Hannigan
51,Margaret,Maggie Wheeler
51,Loan Officer,Phill Lewis
51,Meg,April Bowlby
51,Daughter,Lyndsy Fonseca
51,Son,David Henrie
51,Wendy,Charlene Amoia
51,Persephone,Megan Bowers
51,Cab Driver,Rhomeyn Johnson
51,Daphne,Kaliya Skye
51,Marshall's Son (uncredited),Michael William Arnold
51,Narrator (voice) (uncredited),Bob Saget
52,Ted Mosby,Josh Radnor
52,Marshall Eriksen,Jason Segel
52,Robin Scherbatsky,Cobie Smulders
52,Barney Stinson,Neil Patrick Harris
